	mgm4472473.3..Stool	mgm4473326.3..Stool	mgm4472464.3..Stool	mgm4472580.3..Stool	mgm4472682.3..Stool	mgm4472361.3..Stool	mgm4472467.3..Stool	mgm4472934.3..Stool	mgm4472586.3..Stool	mgm4472337.3..Stool	mgm4472167.3..Tongue.dorsum	mgm4478487.3..Tongue.dorsum	mgm4472160.3..Tongue.dorsum	mgm4472495.3..Tongue.dorsum	mgm4472353.3..Tongue.dorsum	mgm4472255.3..Tongue.dorsum	mgm4472253.3..Tongue.dorsum	mgm4472304.3..Tongue.dorsum	mgm4472305.3..Tongue.dorsum	mgm4472484.3..Tongue.dorsum	mgm4472444.3..Supragingival.plaque	mgm4472751.3..Supragingival.plaque	mgm4473666.3..Supragingival.plaque	mgm4478571.3..Supragingival.plaque	mgm4473472.3..Supragingival.plaque	mgm4472312.3..Supragingival.plaque	mgm4472462.3..Supragingival.plaque	mgm4472419.3..Supragingival.plaque	mgm4472428.3..Supragingival.plaque	mgm4472397.3..Supragingival.plaque
HtrA_and_Sec_secretion	0.800572788715848	0.792828971319473	0.811389666322952	0.740889573203791	0.779149924599636	0.745807413553834	0.646262765273543	0.707969307669311	0.760994239719086	0.787903996933693	0	0.0170258007118352	0.0185907853271424	0.0538271309991673	0.0385075209106044	0.0443399524578383	0.0183520489399619	0.008847242117732	0.0106189648346869	0.0145958174482038	0.075956067859439	0.0603141405951888	0.0834001834209985	0.074245147157791	0.0744830477715183	0.0844551006699989	0.0801555438001335	0.0825578896615676	0.0721767627408537	0.101629560794341
CBSS-265072.7.peg.546	0.330000282799019	0.328736483119761	0.330114764038015	0.325871562858271	0.337073460047766	0.0771252700732337	0.278503193557692	0.314707739132532	0.319132308211445	0.328810058755546	0	0.0170258007118352	0.0185907853271424	0.0538271309991673	0.0385075209106044	0.0443399524578383	0.0183520489399619	0.008847242117732	0.0106189648346869	0.0145958174482038	0.075956067859439	0.0603141405951888	0.0834001834209985	0.074245147157791	0.0744830477715183	0.0844551006699989	0.0801555438001335	0.0825578896615676	0.0721767627408537	0.101629560794341
Anaerobic_Oxidative_Degradation_of_L-Ornithine	0.0773152403560009	0.0907785306128783	0.0838754037105246	0.0814309659543559	0.0844551006699989	0.0771252700732337	0.0227774096948202	0.0669488829126648	0.0767742310000238	0.0814134214275982	0.362354417174805	0.368856893299808	0.386625498843941	0.407241221619335	0.370158070578389	0.389722344105641	0.342293073856138	0.378830620309748	0.378224358663753	0.402371433504367	0.322526152035965	0.328628960912869	0.341483484037709	0.247669901234463	0.240726861955734	0.319257252126064	0.258557281531204	0.388859195028607	0.325862791447492	0.389434023332352
Lipopolysaccharide-related_cluster_in_Alphaproteobacteria	0.430681094780086	0.429562929470232	0.451975410017069	0.474048439330943	0.485015792251343	0.480291996272593	0.408374343169384	0.446692947817983	0.424538616241513	0.423684512506137	0	0.0170258007118352	0.0185907853271424	0.0538271309991673	0.0385075209106044	0.0443399524578383	0.0183520489399619	0.008847242117732	0.0106189648346869	0.0145958174482038	0.075956067859439	0.0603141405951888	0.0834001834209985	0.074245147157791	0.0744830477715183	0.0844551006699989	0.0801555438001335	0.0825578896615676	0.0721767627408537	0.101629560794341
Beta-Glucoside_Metabolism	0.615592701458687	0.67230903787206	0.664057845707395	0.652411994581647	0.633512274080384	0.58442539806121	0.544745410473908	0.728263923393662	0.564818720587295	0.615350858455968	0.396194318801769	0.436530038450715	0.467008723456815	0.448640101204527	0.338243155832549	0.425208802372176	0.427260278321135	0.433984613054206	0.442943020016053	0.454095110504485	0.459010204454912	0.49514445405128	0.456921042961736	0.493679485565387	0.49429849317723	0.519778203970543	0.455536605287239	0.522922428545049	0.496405692798605	0.543316666265395
Disulphide_related_cluster	0.471829960247264	0.501872302442862	0.498413730549166	0.455598766338538	0.489495977927302	0.447493376810221	0.402709343753045	0.488425493662896	0.451214138687332	0.465966598595128	0.27863074926725	0.311335851190753	0.321776738638808	0.0538271309991673	0.0385075209106044	0.0443399524578383	0.0183520489399619	0.008847242117732	0.0106189648346869	0.0145958174482038	0.075956067859439	0.270421532655466	0.372208086358533	0.338178476555151	0.340188054000815	0.0844551006699989	0.312215884021282	0.358068003412252	0.0721767627408537	0.351706885698931
Proton-dependent_Peptide_Transporters	0.489457145100125	0.511839481961833	0.51577253740259	0.489124391844772	0.501952895255618	0.472164247799127	0.422116163021841	0.477486271012483	0.475819892357253	0.483169640622786	0	0.0170258007118352	0.0185907853271424	0.0538271309991673	0.0385075209106044	0.0443399524578383	0.0183520489399619	0.008847242117732	0.0106189648346869	0.0145958174482038	0.075956067859439	0.0603141405951888	0.0834001834209985	0.074245147157791	0.0744830477715183	0.0844551006699989	0.0801555438001335	0.0825578896615676	0.0721767627408537	0.101629560794341
Bile_hydrolysis_related_cluster	0.425360357116953	0.404003032968413	0.429785863247353	0.415487699151043	0.414771191219198	0.428201228449477	0.385089926047675	0.376724707973788	0.405938706912857	0.423235916422216	0	0.0170258007118352	0.0185907853271424	0.0538271309991673	0.0385075209106044	0.0443399524578383	0.0183520489399619	0.008847242117732	0.0106189648346869	0.0145958174482038	0.075956067859439	0.0603141405951888	0.0834001834209985	0.074245147157791	0.0744830477715183	0.0844551006699989	0.0801555438001335	0.0825578896615676	0.0721767627408537	0.101629560794341
Late_competence	0.172446255128208	0.0907785306128783	0.0838754037105246	0.0814309659543559	0.151894090827968	0.185173445536336	0.0227774096948202	0.0669488829126648	0.135511182926584	0.0814134214275982	0.416912248058801	0.384296941638738	0.402356690424128	0.40085385067306	0.391776886645173	0.405093271836983	0.42155421392631	0.416494029372561	0.418228185857047	0.40181546414917	0.42784952796006	0.515074447027198	0.441457827524618	0.50651988128882	0.512379184819643	0.41551577838728	0.384782165442481	0.483746847925007	0.485110826784248	0.446045311631172
Regulation_of_Oxidative_Stress_Response	0.419600853198356	0.422181354459789	0.441134515340649	0.44778952472862	0.41728829160886	0.448013197840817	0.395357056400341	0.421517790593657	0.408445767276869	0.412816131695724	0.568457136237252	0.572432995107967	0.596304856893108	0.650395166267226	0.612732543524976	0.621859554991886	0.59419972791608	0.570709118370947	0.591673210080485	0.578745418455446	0.624020217484638	0.659377644268247	0.690823036014389	0.635783439642189	0.638830560122444	0.736898375488892	0.721718512411674	0.775423104916937	0.811780218658221	0.781717787782351
CBSS-87626.3.peg.3639	0.654156341082844	0.658884229909368	0.682382813659482	0.640203129192682	0.65640244407435	0.627031523924251	0.538303120676513	0.604253377130742	0.627628025217492	0.642472177432945	0.489411659428115	0.533128935488107	0.551181840662567	0.541269248077303	0.462887702522944	0.526188365997743	0.492847975470874	0.494588350230457	0.539877587733869	0.512897572855084	0.392634175472419	0.537235026795159	0.320665550917677	0.310554250013301	0.313377939678874	0.426948279654061	0.360530847595308	0.349103133916717	0.363516029290602	0.337690498186882
Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	0.0773152403560009	0.404663364953187	0.421558254270712	0.386623117130134	0.408746723548803	0.391718755966135	0.349474929124773	0.375755621130227	0.40279935260934	0.395044371354147	0	0.0170258007118352	0.0185907853271424	0.0538271309991673	0.0385075209106044	0.0443399524578383	0.0183520489399619	0.008847242117732	0.0106189648346869	0.0145958174482038	0.075956067859439	0.0603141405951888	0.0834001834209985	0.074245147157791	0.0744830477715183	0.0844551006699989	0.0801555438001335	0.0825578896615676	0.0721767627408537	0.101629560794341
