	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3
(GlcNAc)2_Catabolic_Operon	0.0427944025256857	0.0381637058017326	0.0390843938522618	0.0333588964043466	0.0308999006337351	0.0364983693356204	0.045854208389371	0.108304167685077	0.0494054705841127	0.341053261154946	0.0539919735537788	0.0531914972926766	0.0460914230103878	0.0483411337244649	0.0423540706153011	0.114321609561524	0.0681727508208824	0.104667314382405	0.0359862323971546	0.0453098845977158	0.108735812617283	0.100217779351	0.128725954950927	0.047350085573984	0.286706650510225	0.12477114553049	0.045854208389371	0.047229037265835	0	0.0447954884879519
2-Ketogluconate_Utilization	0.0427944025256857	0.0381637058017326	0.0390843938522618	0.0333588964043466	0.0308999006337351	0.0364983693356204	0.045854208389371	0.108304167685077	0.0494054705841127	0.102819021517671	0.0539919735537788	0.0531914972926766	0.0460914230103878	0.0483411337244649	0.0423540706153011	0.114321609561524	0.248155472792345	0.104667314382405	0.0359862323971546	0.0453098845977158	0.108735812617283	0.100217779351	0.128725954950927	0.047350085573984	0.0959348869876653	0.12477114553049	0.045854208389371	0.047229037265835	0	0.0447954884879519
2-phosphoglycolate_salvage	0.0427944025256857	0.0381637058017326	0.0390843938522618	0.0333588964043466	0.0308999006337351	0.0364983693356204	0.045854208389371	0.108304167685077	0.0494054705841127	0.102819021517671	0.0539919735537788	0.0531914972926766	0.0460914230103878	0.0483411337244649	0.0423540706153011	0.114321609561524	0.262313652511775	0.104667314382405	0.0359862323971546	0.0453098845977158	0.108735812617283	0.100217779351	0.128725954950927	0.047350085573984	0.0959348869876653	0.12477114553049	0.045854208389371	0.047229037265835	0	0.0447954884879519
4-Hydroxyphenylacetic_acid_catabolic_pathway	0.0427944025256857	0.0381637058017326	0.313268743578563	0.304721576931204	0.0308999006337351	0.0364983693356204	0.045854208389371	0.108304167685077	0.0494054705841127	0.102819021517671	0.0539919735537788	0.0531914972926766	0.0460914230103878	0.297143208179225	0.0423540706153011	0.114321609561524	0.356469464785498	0.104667314382405	0.265542356080213	0.313281525463357	0.108735812617283	0.100217779351	0.128725954950927	0.047350085573984	0.0959348869876653	0.344109490094718	0.045854208389371	0.156764732500571	0	0.0447954884879519
5-FCL-like_protein	0.737676103009051	0.72702296444996	0.71467002960568	0.702923765340937	0.712424948653173	0.739031190126324	0.73124143356649	0.108304167685077	0.733104698836972	0.102819021517671	0.699815712770456	0.0531914972926766	0.0460914230103878	0.66484811067923	0.71851347984539	0.114321609561524	0.0681727508208824	0.104667314382405	0.734771883424197	0.725444331041009	0.108735812617283	0.100217779351	0.128725954950927	0.723375895674434	0.0959348869876653	0.12477114553049	0.665450054398357	0.689796495558026	0.665853866739533	0.661273391853813
A_conserved_operon_linked_to_TyrR_and_possibly_involved_in_virulence	0.0427944025256857	0.0381637058017326	0.0390843938522618	0.0333588964043466	0.402491207470974	0.0364983693356204	0.045854208389371	0.108304167685077	0.0494054705841127	0.102819021517671	0.0539919735537788	0.0531914972926766	0.0460914230103878	0.0483411337244649	0.0423540706153011	0.114321609561524	0.0681727508208824	0.104667314382405	0.0359862323971546	0.0453098845977158	0.108735812617283	0.100217779351	0.128725954950927	0.047350085573984	0.0959348869876653	0.12477114553049	0.045854208389371	0.047229037265835	0	0.0447954884879519
A_toxin-antitoxin_module_cotranscribed_with_DinB	0.0427944025256857	0.0381637058017326	0.0390843938522618	0.0333588964043466	0.0308999006337351	0.0364983693356204	0.045854208389371	0.108304167685077	0.0494054705841127	0.102819021517671	0.0539919735537788	0.0531914972926766	0.0460914230103878	0.0483411337244649	0.0423540706153011	0.114321609561524	0.261314385747446	0.104667314382405	0.0359862323971546	0.0453098845977158	0.108735812617283	0.100217779351	0.128725954950927	0.047350085573984	0.0959348869876653	0.12477114553049	0.045854208389371	0.047229037265835	0	0.0447954884879519
ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	0.320768397703532	0.0381637058017326	0.0390843938522618	0.303859858059309	0.292559254888196	0.297758360001873	0.045854208389371	0.108304167685077	0.281908918353359	0.102819021517671	0.0539919735537788	0.0531914972926766	0.309057668867669	0.298233558134371	0.0423540706153011	0.114321609561524	0.0681727508208824	0.104667314382405	0.307408731782614	0.298270434818503	0.108735812617283	0.100217779351	0.128725954950927	0.047350085573984	0.0959348869876653	0.12477114553049	0.282937897857359	0.289548318930853	0.291963797649289	0.28034038263417
ABC_transporter_dipeptide_(TC_3.A.1.5.2)	0.542415861250693	0.0381637058017326	0.0390843938522618	0.0333588964043466	0.0308999006337351	0.0364983693356204	0.045854208389371	0.108304167685077	0.0494054705841127	0.102819021517671	0.0539919735537788	0.0531914972926766	0.0460914230103878	0.0483411337244649	0.0423540706153011	0.114321609561524	0.0681727508208824	0.104667314382405	0.0359862323971546	0.0453098845977158	0.108735812617283	0.100217779351	0.128725954950927	0.047350085573984	0.0959348869876653	0.12477114553049	0.045854208389371	0.047229037265835	0	0.0447954884879519
ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	0.0427944025256857	0.633048989689755	0.627425440087388	0.507283374939249	0.631158629344086	0.627380561142463	0.045854208389371	0.108304167685077	0.0494054705841127	0.102819021517671	0.0539919735537788	0.0531914972926766	0.0460914230103878	0.481795808655757	0.0423540706153011	0.114321609561524	0.0681727508208824	0.104667314382405	0.626777147812391	0.520832754991505	0.108735812617283	0.100217779351	0.128725954950927	0.047350085573984	0.0959348869876653	0.12477114553049	0.540474192342387	0.047229037265835	0.547956468452594	0.536543394084692
