	mgm4472580.3	mgm4472361.3	mgm4472464.3	mgm4473326.3	mgm4472682.3	mgm4472467.3	mgm4472934.3	mgm4472473.3	mgm4472337.3	mgm4472586.3	mgm4473472.3	mgm4478571.3	mgm4472397.3	mgm4472312.3	mgm4472428.3	mgm4472462.3	mgm4473666.3	mgm4472419.3	mgm4472751.3	mgm4472444.3	mgm4472495.3	mgm4472353.3	mgm4472255.3	mgm4472305.3	mgm4472167.3	mgm4472253.3	mgm4472484.3	mgm4472304.3	mgm4478487.3	mgm4472160.3
Pterin_metabolism	0.383427892798586	0.383007972814394	0.412582216972954	0.389268508918082	0.396028104457367	0.340384906352702	0.361961496860785	0.399787911053416	0.39062822755322	0.38459033355174	0.408775555341815	0.40762342989797	0.46634178315802	0.428369940302953	0.496334610487101	0.436902166591723	0.425355901676965	0.471032782761547	0.401993347527466	0.391721322444348	0.408039742244004	0.391067641455589	0.388720485952534	0.371274068973274	0.363544946134497	0.371622078274264	0.375228212755649	0.356687364680705	0.371745644519561	0.382178993841362
Aromatic_amino_acid_degradation	0.383829635242476	0.371889868627531	0.432604747539271	0.438553044273955	0.407356580419202	0.3487612288683	0.377741909588201	0.412156748155082	0.391253052028964	0.405755104486797	0.37029003965245	0.365235492401221	0.474018999443153	0.374468090006155	0.470825916473982	0.391185049819966	0.422895996599177	0.473483578024698	0.387103661213925	0.401644936445835	0.41964684038797	0.397723130075006	0.392071486482949	0.371770743959469	0.348969775369514	0.382001530755445	0.386171367602863	0.368295117224436	0.372125172879358	0.387792238402357
Heme,_hemin_uptake_and_utilization_systems_in_GramPositives	0.336217209769392	0.347621977670019	0.343716213101581	0.370926619337515	0.368420317592628	0.327419884854987	0.348447130708746	0.351992119268857	0.361366304979703	0.33783790748762	0.453867352596731	0.449615229486406	0.412090455167539	0.451878913716157	0.48794462663835	0.386294103896743	0.430887663757963	0.455795835127044	0.438348053541119	0.430874208314877	0.429083987501332	0.394185550501788	0.412565271088153	0.400934040175008	0.381698139199828	0.387649107001234	0.409145567219911	0.399206017703154	0.38876016858932	0.410582419761471
Unknown_carbohydrate_utilization_(_cluster_Ydj_)	0.355982155577863	0.362136200028916	0.406136461031554	0.39447650862977	0.407677669819441	0.345367426985201	0.380892852244361	0.38115479730435	0.37321696272083	0.373395907391628	0.456868367047614	0.454161981771053	0.548033953490464	0.500177506680779	0.557143722057561	0.488644817902853	0.490910193549378	0.544720578537602	0.455542761135364	0.478115915209034	0.474109925230392	0.440629284533981	0.461906444399327	0.440155362505407	0.430386862139668	0.439329110682877	0.442170533251113	0.43142556191245	0.429381357821502	0.44979208851947
Bacterial_cyanide_production_and_tolerance_mechanisms	0.34635596586393	0.353917484121903	0.368519147495954	0.360277223169429	0.360810860639836	0.327260363724179	0.335464831886501	0.352325624282313	0.351004760315154	0.346406175876359	0.425603236772313	0.426607745034691	0.489598276700133	0.424663538597006	0.532445742313307	0.523015693835569	0.451583116712026	0.488863358174067	0.467749604451625	0.414464959653672	0.451334546073194	0.422128659776562	0.425489616985934	0.412174568186595	0.424378616553194	0.444267728557589	0.46080691939687	0.414619172775231	0.416948356348413	0.393051366845522
Experimental-Ubiquinone_BiosynthesisVDC	0.436878233273893	0.427479993048674	0.287761939104219	0.444800303106861	0.439570074722116	0.375441197803946	0.40666631544764	0.392577530540422	0.384456150822759	0.385287933802737	0.4032658031147	0.401964495776313	0.435641803256879	0.523165439854175	0.537083952102707	0.391185049819966	0.371294807078922	0.41260066442534	0.543177857972764	0.423458481249703	0.441757568281911	0.509959379707531	0.430468459708022	0.449546884469586	0.423111103590541	0.436940924993299	0.395254314750923	0.389036521224153	0.462644904578737	0.467707670782874
Biphenyl_Degradation	0.289529888306288	0.350076625027313	0.0750913138557743	0.369348027970898	0.424391685082216	0.344835080417606	0.298910034468052	0.395414196524358	0.404851113176813	0.331056180513732	0.40615402799707	0.402727001195991	0.482017159453849	0.472582720632358	0.508229069087014	0.397601494866973	0.426713220728499	0.473699248897829	0.454458752918361	0.454850882527636	0.443607043150454	0.415374644033868	0.43314770271282	0.408960194312699	0.389349976394006	0.401582922783378	0.398580255384073	0.391118542587476	0.411749326127914	0.424637651376429
Putative_TldE-TldD_proteolytic_complex	0.338130934972028	0.0690481071336274	0.371170279826202	0.365040385590834	0.364599549211055	0.204697182419317	0.342309998407639	0.377708120551693	0.38025518518578	0.355982146622276	0.315063578821062	0.361308282733571	0.412761738228324	0.469078899603754	0.557083233514294	0.417301209865636	0.419105456311443	0.394926994432274	0.466785187275916	0.429977937612432	0.436116214165278	0.431848852859866	0.422482767879365	0.423720241955744	0.412855596379029	0.425410783424851	0.403664260339422	0.397846556693693	0.407855576387381	0.414042915144157
Propanediol_utilization	0.40162979500805	0.408950257467624	0.433817560877679	0.429990722433727	0.423822651955775	0.365580453304057	0.388720486765123	0.430593373718072	0.423609252723983	0.40740763215026	0.512267697370146	0.431970821894632	0.476457055718347	0.349261975090642	0.607196467245531	0.385938058554747	0.411950897870331	0.445825153125641	0.485036308927797	0.453764878129002	0.501073624927794	0.503963028129943	0.480219303985683	0.472093650447251	0.435117176960512	0.437747452052121	0.479068652836731	0.461224544801859	0.452339326015785	0.472732089066937
Transport_of_Manganese	0.38294707892087	0.392120659052062	0.409051331440977	0.399396421738746	0.388833046089481	0.349107826987622	0.370824699411032	0.393289455069387	0.383067462638057	0.38591085887193	0.489279483016093	0.487911373080246	0.446968248422547	0.391576995940724	0.452597505917625	0.426317303026224	0.407538201695122	0.447128806308343	0.451624710958843	0.440395228788436	0.478624506088449	0.476632514987386	0.498460033957898	0.488273538626869	0.467658089766098	0.487675233273044	0.503812134798653	0.482431193809185	0.460738129563245	0.488831615875287
