	mgm4472160.3::Tongue dorsum	mgm4472167.3::Tongue dorsum	mgm4472253.3::Tongue dorsum	mgm4472255.3::Tongue dorsum	mgm4472304.3::Tongue dorsum	mgm4472305.3::Tongue dorsum	mgm4472312.3::Supragingival plaque	mgm4472337.3::Stool	mgm4472353.3::Tongue dorsum	mgm4472361.3::Stool	mgm4472397.3::Supragingival plaque	mgm4472419.3::Supragingival plaque	mgm4472428.3::Supragingival plaque	mgm4472444.3::Supragingival plaque	mgm4472462.3::Supragingival plaque	mgm4472464.3::Stool	mgm4472467.3::Stool	mgm4472473.3::Stool	mgm4472484.3::Tongue dorsum	mgm4472495.3::Tongue dorsum	mgm4472580.3::Stool	mgm4472586.3::Stool	mgm4472682.3::Stool	mgm4472751.3::Supragingival plaque	mgm4472934.3::Stool	mgm4473326.3::Stool	mgm4473472.3::Supragingival plaque	mgm4473666.3::Supragingival plaque	mgm4478487.3::Tongue dorsum	mgm4478571.3::Supragingival plaque	Stool::group_mean	Supragingival plaque::group_mean	Tongue dorsum::group_mean	Stool::group_sd	Supragingival plaque::group_sd	Tongue dorsum::group_sd	Kruskal-Wallis::stat	Kruskal-Wallis::p	Kruskal-Wallis::fdr
Multidrug_Resistance_Efflux_Pumps	0.569169036122747	0.564673135348419	0.575327990620627	0.511222922818822	0.533187465616037	0.566620106462183	0.324702546401958	0.108304167685077	0.542100500048545	0.102819021517671	0.309848136743686	0.347643934386697	0.340626235153446	0.484847162809243	0.300240355204045	0.114321609561524	0.0681727508208824	0.104667314382405	0.52185363670434	0.51061476094787	0.108735812617283	0.100217779351	0.128725954950927	0.426846188488009	0.0959348869876653	0.12477114553049	0.343914189621683	0.32919509683185	0.505338738623802	0.342056319315464	0.105667044340492	0.354992016495608	0.540010829331339	0.0167574043814897	0.0569546104921559	0.0272629598220584	25.8064516129032	2.49000508218493e-06	0.00165585337965298
Anaerobic_Oxidative_Degradation_of_L-Ornithine	0.382457537071643	0.370380723714991	0.344307251096888	0.365150397383311	0.375323030247171	0.376724828710267	0.297683454839163	0.108304167685077	0.361538826555795	0.102819021517671	0.337395777950321	0.350053266465374	0.308952407470213	0.305369535774163	0.249928948504052	0.114321609561524	0.0681727508208824	0.104667314382405	0.394072141646166	0.378100734640028	0.108735812617283	0.100217779351	0.128725954950927	0.317404734225206	0.0959348869876653	0.12477114553049	0.237134619671498	0.314730691851886	0.347050340146959	0.243268882972399	0.105667044340492	0.296192231972427	0.369510581121322	0.0167574043814897	0.0395398962387107	0.0154686136868886	25.3006451612903	3.20652558063664e-06	0.00212913298554273
Conserved_gene_cluster_associated_with_Met-tRNA_formyltransferase	0.727489783564391	0.733818664399411	0.724395856794711	0.710755611906063	0.716043842694945	0.734473693079136	0.624917521550507	0.108304167685077	0.714759166360865	0.102819021517671	0.629943502112499	0.627628860626577	0.706683703879246	0.649775684217963	0.634955999177618	0.114321609561524	0.0681727508208824	0.104667314382405	0.72561311741154	0.71014492886166	0.108735812617283	0.100217779351	0.128725954950927	0.68820698069038	0.0959348869876653	0.12477114553049	0.642982431661671	0.617069861809371	0.656672785051343	0.638461607081038	0.105667044340492	0.646062615280687	0.715416745012406	0.0167574043814897	0.0289497542501858	0.0224433690419495	25.3006451612903	3.20652558063664e-06	0.00212913298554273
Purine_Utilization	0.531410594772744	0.530996983504238	0.524762778818391	0.493150234568	0.524630933555684	0.543821384084984	0.402329835350626	0.108304167685077	0.564719530184622	0.102819021517671	0.365920519007	0.484641966642321	0.455467588202916	0.433077504034969	0.473804488927442	0.114321609561524	0.0681727508208824	0.104667314382405	0.557164477957499	0.509882265082604	0.108735812617283	0.100217779351	0.128725954950927	0.437311592433764	0.0959348869876653	0.12477114553049	0.459245275855681	0.428073766590432	0.472964503931657	0.461631482749469	0.105667044340492	0.440150401979462	0.525350368646042	0.0167574043814897	0.0354607212453644	0.0278749389156543	25.3006451612903	3.20652558063664e-06	0.00212913298554273
Streptococcus_pyogenes_virulence_regulators	0.405597377187219	0.408448065215427	0.411265678805789	0.405079284903483	0.388148189522899	0.396596191570085	0.045854208389371	0.379922423425087	0.391242575247775	0.353707432472241	0.0539919735537788	0.0531914972926766	0.0460914230103878	0.0483411337244649	0.0423540706153011	0.114321609561524	0.337200582252034	0.387593249434363	0.409295275341631	0.392074399200241	0.355010345741781	0.371147715489535	0.379266484326544	0.047350085573984	0.315203867399548	0.3721747211255	0.045854208389371	0.047229037265835	0.370492295224772	0.0447954884879519	0.336554843122816	0.0475053126303122	0.397823933221932	0.0811405508311854	0.00359843024161575	0.0127223694929635	24.5861148197597	4.58345530955622e-06	0.00302966395961666
Glutathione:_Redox_cycle	0.435831695328666	0.449018962514291	0.44443239168634	0.431035335136023	0.442192560340803	0.449882210365211	0.353574516179257	0.108304167685077	0.396515282701602	0.102819021517671	0.370002400541999	0.394821463311209	0.41373488654444	0.380963744292947	0.409657115209467	0.114321609561524	0.296645706306421	0.104667314382405	0.456381439671767	0.439792458538549	0.108735812617283	0.100217779351	0.128725954950927	0.38120620162241	0.0959348869876653	0.12477114553049	0.3648289942117	0.360022085129334	0.392555175678328	0.362121299118664	0.128514339889046	0.379093270616143	0.433763751196158	0.0599762300650803	0.0210254015830466	0.0219155241896947	24.5806451612903	4.59600743326666e-06	0.003033364905956
DNA_repair,_bacterial	0.668058187587819	0.679896548584934	0.67576600058302	0.650164071110827	0.680137038153581	0.693138226083473	0.58012145624066	0.108304167685077	0.673779504758038	0.102819021517671	0.551922500219795	0.606274305019337	0.672514626849176	0.600969047568484	0.548535487848971	0.114321609561524	0.0681727508208824	0.104667314382405	0.685351175916376	0.670366898393654	0.108735812617283	0.100217779351	0.128725954950927	0.652638439242401	0.0959348869876653	0.12477114553049	0.614838333522881	0.561160875514998	0.620120956152893	0.611316116787663	0.105667044340492	0.600029118881437	0.669677860732461	0.0167574043814897	0.0412059604645103	0.0208260503175507	24.3509677419355	5.15530709006132e-06	0.00339734737235041
LOS_core_oligosaccharide_biosynthesis	0.606653733878342	0.603972856650568	0.60245218529719	0.582907172434548	0.599461409714716	0.612199870020325	0.525604603143055	0.108304167685077	0.607508121103923	0.102819021517671	0.505160437296673	0.567498526293554	0.602591098448502	0.534450942636589	0.533940130787373	0.114321609561524	0.0681727508208824	0.104667314382405	0.603818825848243	0.602510294135556	0.108735812617283	0.100217779351	0.128725954950927	0.53893559647939	0.0959348869876653	0.12477114553049	0.527620743273388	0.511813002177885	0.535386548401687	0.524471596561594	0.105667044340492	0.5372086677098	0.59568710174851	0.0167574043814897	0.028430134516852	0.0225425640452305	24.1264516129032	5.76776554439032e-06	0.00379518972820883
CBSS-269799.3.peg.2220	0.301626967614707	0.241194949132655	0.294270766596988	0.24220333769398	0.282625078008293	0.286686605211565	0.36436681499905	0.108304167685077	0.30219561609169	0.102819021517671	0.357468674095844	0.377216414126148	0.381620680508584	0.253978953330674	0.345542990800117	0.114321609561524	0.0681727508208824	0.104667314382405	0.259249586193383	0.281861988731262	0.108735812617283	0.100217779351	0.128725954950927	0.309805845345907	0.0959348869876653	0.12477114553049	0.357233597538143	0.336677515765502	0.279472509935076	0.358286860994325	0.105667044340492	0.344219834750429	0.27713874052096	0.0167574043814897	0.0377457076059352	0.0223669004512032	23.9070967741935	6.43635361473573e-06	0.00422868432488138
Glycerol_and_Glycerol-3-phosphate_Uptake_and_Utilization	0.586310353235144	0.596993712401347	0.590116880006527	0.559519424878589	0.5954151511926	0.612897205859192	0.484766493642863	0.108304167685077	0.557881603078587	0.102819021517671	0.524349320517998	0.573811765705917	0.577420467566769	0.478666892659964	0.539833950881788	0.114321609561524	0.419074732226559	0.104667314382405	0.596684156322242	0.586830114148419	0.431643485312102	0.100217779351	0.128725954950927	0.556170999549129	0.0959348869876653	0.12477114553049	0.498757287517894	0.494663693186662	0.525752174701824	0.497928915203698	0.173048009750542	0.522636978643268	0.580840077582447	0.133414612696193	0.0370795883629327	0.0256477621659922	23.9070967741935	6.43635361473573e-06	0.00422868432488138
