	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3
(GlcNAc)2_Catabolic_Operon	0	0	0	0	0	0	0	0	0	1113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	944	0	0	0	0
16S_rRNA_modification_within_P_site_of_ribosome	46551	68989	65259	41723	71520	60454	0	42440	40290	38081	0	0	0	10562	0	46456	39917	50480	83074	46636	32831	39216	38184	11812	33971	38147	20919	0	48808	20641
2-Ketogluconate_Utilization	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0
2-phosphoglycolate_salvage	7401	7963	8580	7110	8577	8916	0	0	8433	5515	0	0	0	0	0	0	171	0	8645	8306	4614	0	0	8182	5025	0	4988	0	6128	5028
4-Hydroxyphenylacetic_acid_catabolic_pathway	1028	1245	1205	999	563	984	1957	0	1268	0	0	330	2371	682	0	0	2568	0	274	1130	0	0	0	1925	0	820	0	5	1602	0
5-FCL-like_protein	227911	220593	198999	192745	212583	245539	210284	101810	205294	100923	151536	245853	388231	122644	198128	93164	109416	123754	239044	202447	89989	81165	95532	195029	91064	95895	126548	150977	209619	123787
A_conserved_operon_linked_to_TyrR_and_possibly_involved_in_virulence	5537	8991	9196	0	9243	8980	1751	0	4825	0	1650	4573	5102	2211	3827	0	0	0	8034	6161	0	0	0	3791	0	0	1586	1986	4524	1636
A_Gammaproteobacteria_Cluster_Relating_to_Translation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21451	0	0	0	0	0	0	0	0	0	0	0	0	0
A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins	74408	71119	61464	67472	70126	76142	13450	0	62723	0	0	19604	75718	41029	53418	0	0	0	79021	67092	0	0	0	52361	0	0	47502	11645	61535	47106
A_Hypothetical_Protein_Related_to_Proline_Metabolism	0	0	0	0	8723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A_toxin-antitoxin_module_cotranscribed_with_DinB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	1426	812	0	974	709	786	0	0	416	0	658	721	994	705	0	0	0	0	1052	729	0	0	0	0	0	0	447	545	986	415
