	mgm4472160.3::Tongue dorsum	mgm4472167.3::Tongue dorsum	mgm4472253.3::Tongue dorsum	mgm4472255.3::Tongue dorsum	mgm4472304.3::Tongue dorsum	mgm4472305.3::Tongue dorsum	mgm4472312.3::Supragingival plaque	mgm4472337.3::Stool	mgm4472353.3::Tongue dorsum	mgm4472361.3::Stool	mgm4472397.3::Supragingival plaque	mgm4472419.3::Supragingival plaque	mgm4472428.3::Supragingival plaque	mgm4472444.3::Supragingival plaque	mgm4472462.3::Supragingival plaque	mgm4472464.3::Stool	mgm4472467.3::Stool	mgm4472473.3::Stool	mgm4472484.3::Tongue dorsum	mgm4472495.3::Tongue dorsum	mgm4472580.3::Stool	mgm4472586.3::Stool	mgm4472682.3::Stool	mgm4472751.3::Supragingival plaque	mgm4472934.3::Stool	mgm4473326.3::Stool	mgm4473472.3::Supragingival plaque	mgm4473666.3::Supragingival plaque	mgm4478487.3::Tongue dorsum	mgm4478571.3::Supragingival plaque	Stool::group_mean	Supragingival plaque::group_mean	Tongue dorsum::group_mean	Stool::group_sd	Supragingival plaque::group_sd	Tongue dorsum::group_sd	Kruskal-Wallis::stat	Kruskal-Wallis::p	Kruskal-Wallis::fdr
Aspartate_aminotransferase	0.0166438125370311	0	0.0164300784959952	0.0396963250138593	0.0079206895613103	0.00950686358514482	0.0756103004048627	0.603702366347252	0.0344747114241687	0.58820335627131	0.0909861164182359	0.073911780207256	0.0646178462850978	0.0680013529421372	0.0717610268386802	0.616532690271337	0.509501566018981	0.620052143041933	0.0130672290146859	0.048189931839424	0.576674520519872	0.594497602024965	0.610833722483662	0.0539975709327801	0.565765497209308	0.621404601262875	0.0666825990662136	0.0746658623606662	0.0152427253800253	0.0664696132698825	0.590716806545149	0.0706704068725812	0.0201172366851645	0.034121284347462	0.00954568136694661	0.0154298277668916	25.8064516129032	2.49000508218493e-06	0.00218871446724055
Bile_hydrolysis_related_cluster	0.0166438125370311	0	0.0164300784959952	0.0396963250138593	0.0079206895613103	0.00950686358514482	0.0756103004048627	0.378911333110031	0.0344747114241687	0.383356638734045	0.0909861164182359	0.073911780207256	0.0646178462850978	0.0680013529421372	0.0717610268386802	0.384775318152445	0.344760289909811	0.380813285719726	0.0130672290146859	0.048189931839424	0.371974569897058	0.363425622989587	0.371333100293216	0.0539975709327801	0.337271143055434	0.361692667996174	0.0666825990662136	0.0746658623606662	0.0152427253800253	0.0664696132698825	0.367831396985753	0.0706704068725812	0.0201172366851645	0.0162349135555298	0.00954568136694661	0.0154298277668916	25.8064516129032	2.49000508218493e-06	0.00218871446724055
Cardiolipin_synthesis	0.0166438125370311	0	0.0164300784959952	0.0396963250138593	0.0079206895613103	0.00950686358514482	0.0756103004048627	0.485952107855333	0.0344747114241687	0.473794647182619	0.0909861164182359	0.073911780207256	0.0646178462850978	0.0680013529421372	0.0717610268386802	0.509436707475337	0.415491874619283	0.490829557939127	0.0130672290146859	0.048189931839424	0.470820448211057	0.482829015612382	0.495791626326141	0.0539975709327801	0.445258603789749	0.50694112642531	0.0666825990662136	0.0746658623606662	0.0152427253800253	0.0664696132698825	0.477714571543634	0.0706704068725812	0.0201172366851645	0.0287541906851185	0.00954568136694661	0.0154298277668916	25.8064516129032	2.49000508218493e-06	0.00218871446724055
Fructose_utilization	0.0166438125370311	0	0.0164300784959952	0.0396963250138593	0.0079206895613103	0.00950686358514482	0.0756103004048627	0.422664447198043	0.0344747114241687	0.43674433340913	0.0909861164182359	0.073911780207256	0.0646178462850978	0.0680013529421372	0.0717610268386802	0.436332154972611	0.377525644148254	0.429124186336529	0.0130672290146859	0.048189931839424	0.40667031306617	0.42089666270707	0.430732089527629	0.0539975709327801	0.402102213091537	0.427896720134431	0.0666825990662136	0.0746658623606662	0.0152427253800253	0.0664696132698825	0.41906887645914	0.0706704068725812	0.0201172366851645	0.0185867763793186	0.00954568136694661	0.0154298277668916	25.8064516129032	2.49000508218493e-06	0.00218871446724055
HtrA_and_Sec_secretion	0.0166438125370311	0	0.0164300784959952	0.0396963250138593	0.0079206895613103	0.00950686358514482	0.0756103004048627	0.70538851325425	0.0344747114241687	0.667700614120644	0.0909861164182359	0.073911780207256	0.0646178462850978	0.0680013529421372	0.0717610268386802	0.726414579218813	0.578581061832396	0.716730529838403	0.0130672290146859	0.048189931839424	0.663297808567634	0.681296956786056	0.697551236006423	0.0539975709327801	0.633825211332851	0.709797705710845	0.0666825990662136	0.0746658623606662	0.0152427253800253	0.0664696132698825	0.678058421666832	0.0706704068725812	0.0201172366851645	0.044914864891918	0.00954568136694661	0.0154298277668916	25.8064516129032	2.49000508218493e-06	0.00218871446724055
Iron_Scavenging_cluster_in_Thermus	0.0166438125370311	0	0.0164300784959952	0.0396963250138593	0.0079206895613103	0.00950686358514482	0.0756103004048627	0.343279772545973	0.0344747114241687	0.320630488165551	0.0909861164182359	0.073911780207256	0.0646178462850978	0.0680013529421372	0.0717610268386802	0.371008742330337	0.296921256792057	0.351578470494015	0.0130672290146859	0.048189931839424	0.353585899619852	0.337030046378672	0.351934462454491	0.0539975709327801	0.362917716928463	0.365612467625631	0.0666825990662136	0.0746658623606662	0.0152427253800253	0.0664696132698825	0.345449932333504	0.0706704068725812	0.0201172366851645	0.0225027094731197	0.00954568136694661	0.0154298277668916	25.8064516129032	2.49000508218493e-06	0.00218871446724055
L-fucose_utilization_temp	0.0166438125370311	0	0.0164300784959952	0.0396963250138593	0.0079206895613103	0.00950686358514482	0.0756103004048627	0.59662839037246	0.0344747114241687	0.604956378731369	0.0909861164182359	0.073911780207256	0.0646178462850978	0.0680013529421372	0.0717610268386802	0.630878050453278	0.512178238872216	0.59295553242493	0.0130672290146859	0.048189931839424	0.612980785415582	0.5953889516971	0.617804426323299	0.35929789752007	0.564170972948845	0.599067586616457	0.0666825990662136	0.0746658623606662	0.0152427253800253	0.0664696132698825	0.592700931385554	0.10120043953131	0.0201172366851645	0.0333504262730234	0.0909988377536241	0.0154298277668916	25.8064516129032	2.49000508218493e-06	0.00218871446724055
Lipopolysaccharide-related_cluster_in_Alphaproteobacteria	0.0166438125370311	0	0.0164300784959952	0.0396963250138593	0.0079206895613103	0.00950686358514482	0.0756103004048627	0.379312948695077	0.0344747114241687	0.429992052962198	0.0909861164182359	0.073911780207256	0.0646178462850978	0.0680013529421372	0.0717610268386802	0.404641001619708	0.365606180322087	0.385576794020508	0.0130672290146859	0.048189931839424	0.424402370252594	0.380077603991162	0.434221135991774	0.0539975709327801	0.3999117602763	0.384575731748252	0.0666825990662136	0.0746658623606662	0.0152427253800253	0.0664696132698825	0.398831757987966	0.0706704068725812	0.0201172366851645	0.0238693470561598	0.00954568136694661	0.0154298277668916	25.8064516129032	2.49000508218493e-06	0.00218871446724055
p-Aminobenzoyl-Glutamate_Utilization	0.275745525843856	0.249407756120153	0.2551430995729	0.283354715745011	0.267063343579839	0.268058078327234	0.0756103004048627	0.335215305976127	0.26534148066166	0.306671537956928	0.0909861164182359	0.073911780207256	0.0646178462850978	0.0680013529421372	0.0717610268386802	0.34701632121711	0.288541459927388	0.338471667420052	0.278699934112696	0.28305580660997	0.334590794918631	0.335531366010159	0.340572911353397	0.0539975709327801	0.321746391861231	0.351760280056339	0.0666825990662136	0.0746658623606662	0.264847981793013	0.0664696132698825	0.330011803669736	0.0706704068725812	0.269071772236633	0.0193121715905753	0.00954568136694661	0.0113249698302257	25.8064516129032	2.49000508218493e-06	0.00218871446724055
Phosphoenolpyruvate_phosphomutase	0.0166438125370311	0	0.0164300784959952	0.0396963250138593	0.0079206895613103	0.00950686358514482	0.0756103004048627	0.390073378699064	0.0344747114241687	0.383487120351071	0.0909861164182359	0.073911780207256	0.0646178462850978	0.0680013529421372	0.0717610268386802	0.422955040444689	0.345112308800067	0.396005318021755	0.0130672290146859	0.048189931839424	0.387459806551756	0.389417168728563	0.400961277772682	0.0539975709327801	0.47302552218656	0.45194330162316	0.0666825990662136	0.0746658623606662	0.0152427253800253	0.0664696132698825	0.404044024317937	0.0706704068725812	0.0201172366851645	0.0366124325994222	0.00954568136694661	0.0154298277668916	25.8064516129032	2.49000508218493e-06	0.00218871446724055
